"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.440760940043933,0.0345694871599021,0.374183179100457,0.509974363988465,1.00551180798294,410,2003,"MM.p.uw","Africa"
2,0.46192929985237,0.0316775113035849,0.401500934022809,0.524290701531266,1.00179300203624,1800,2004,"MM.p.uw","Africa"
3,0.425534016016352,0.033522432460122,0.359057665638147,0.490135059924852,1.00069710069771,4500,2005,"MM.p.uw","Africa"
4,0.455996610503595,0.039066435464586,0.37930918593326,0.531582075999992,1.00137354762114,2800,2006,"MM.p.uw","Africa"
5,0.465686822666745,0.0368537747027646,0.394396790775471,0.536339826921933,1.00169789832083,1900,2007,"MM.p.uw","Africa"
6,0.556923570486825,0.0317824481983254,0.494221579895579,0.618895480835542,1.0009524995071,4500,2008,"MM.p.uw","Africa"
7,0.539571218730253,0.0296851308095503,0.480412530976744,0.596759267543588,1.00217803890385,1300,2009,"MM.p.uw","Africa"
8,0.532308707453537,0.0297456608836523,0.473152184093792,0.589710750935098,1.00489255405338,590,2010,"MM.p.uw","Africa"
9,0.690967884548086,0.0240971212687832,0.64385523032732,0.736788099376014,1.00151320475551,2400,2011,"MM.p.uw","Africa"
10,0.659086186354472,0.0238859145792096,0.610503329188714,0.704532356077815,1.00204162232522,1500,2012,"MM.p.uw","Africa"
11,0.612316247285526,0.0257003336234111,0.561275485957741,0.662200463859468,1.00084607040756,4500,2013,"MM.p.uw","Africa"
12,0.648995922615373,0.0249095940463455,0.597279726137324,0.696062795950368,1.00107546283029,4500,2014,"MM.p.uw","Africa"
13,0.639770479884894,0.0255243314523353,0.589675789900026,0.688495641531558,1.00113375399187,4300,2015,"MM.p.uw","Africa"
14,0.62500826827686,0.0266621166657926,0.570824480219864,0.675132445517008,1.00112722045155,4300,2016,"MM.p.uw","Africa"
15,0.572585574816791,0.0273469607365144,0.518703236715558,0.624730286260029,1.0016423735522,4500,2017,"MM.p.uw","Africa"
16,0.542118944184906,0.0238586437299918,0.495271044357726,0.588089483198532,1.0007379046082,4500,2018,"MM.p.uw","Africa"
17,0.42914720617095,0.0266347455858032,0.378915943368709,0.482618491639228,1.00069189524525,4500,2019,"MM.p.uw","Africa"
18,0.360512712888645,0.0285506897682517,0.304901559967608,0.417795450885689,1.00159963456934,2100,2020,"MM.p.uw","Africa"
19,0.399320276118785,0.0304640707142842,0.33960523969856,0.459811428620422,1.00226310250284,1300,2021,"MM.p.uw","Africa"
20,0.345995884626434,0.0278528915151262,0.292616701182489,0.402086748510607,1.00123126497722,3500,2022,"MM.p.uw","Africa"
21,0.388034606172785,0.0281450819071445,0.332695733898304,0.443125872877378,1.00100715582985,4500,2023,"MM.p.uw","Africa"
1,0.440760940043933,0.0345694871599021,0.374183179100457,0.509974363988465,1.00551180798294,410,2003,"MM.p.w","Africa"
2,0.46192929985237,0.0316775113035849,0.401500934022809,0.524290701531266,1.00179300203624,1800,2004,"MM.p.w","Africa"
3,0.425534016016352,0.033522432460122,0.359057665638147,0.490135059924852,1.00069710069771,4500,2005,"MM.p.w","Africa"
4,0.455996610503595,0.039066435464586,0.37930918593326,0.531582075999992,1.00137354762114,2800,2006,"MM.p.w","Africa"
5,0.465686822666745,0.0368537747027646,0.394396790775471,0.536339826921933,1.00169789832083,1900,2007,"MM.p.w","Africa"
6,0.556923570486825,0.0317824481983254,0.494221579895579,0.618895480835542,1.0009524995071,4500,2008,"MM.p.w","Africa"
7,0.539571218730253,0.0296851308095503,0.480412530976744,0.596759267543588,1.00217803890385,1300,2009,"MM.p.w","Africa"
8,0.532308707453537,0.0297456608836523,0.473152184093792,0.589710750935098,1.00489255405338,590,2010,"MM.p.w","Africa"
9,0.690967884548086,0.0240971212687832,0.64385523032732,0.736788099376014,1.00151320475551,2400,2011,"MM.p.w","Africa"
10,0.659086186354472,0.0238859145792096,0.610503329188714,0.704532356077815,1.00204162232522,1500,2012,"MM.p.w","Africa"
11,0.612316247285526,0.0257003336234111,0.561275485957741,0.662200463859468,1.00084607040756,4500,2013,"MM.p.w","Africa"
12,0.648995922615373,0.0249095940463455,0.597279726137324,0.696062795950368,1.00107546283029,4500,2014,"MM.p.w","Africa"
13,0.639770479884894,0.0255243314523353,0.589675789900026,0.688495641531558,1.00113375399187,4300,2015,"MM.p.w","Africa"
14,0.62500826827686,0.0266621166657926,0.570824480219864,0.675132445517008,1.00112722045155,4300,2016,"MM.p.w","Africa"
15,0.572585574816791,0.0273469607365144,0.518703236715558,0.624730286260029,1.0016423735522,4500,2017,"MM.p.w","Africa"
16,0.542118944184906,0.0238586437299918,0.495271044357726,0.588089483198532,1.0007379046082,4500,2018,"MM.p.w","Africa"
17,0.42914720617095,0.0266347455858032,0.378915943368709,0.482618491639228,1.00069189524525,4500,2019,"MM.p.w","Africa"
