"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.0892836296155205,0.0760129418341667,0.0111996835204421,0.289163416001114,1.00238120726646,1200,2003,"anti-logit Year eff","Asia"
2,0.0898422630916178,0.0619809039101121,0.0148281748648641,0.249954354545394,1.00273550350981,1100,2004,"anti-logit Year eff","Asia"
3,0.268965873200578,0.121478373463458,0.081593019742233,0.544739904757294,1.00138810454938,2800,2005,"anti-logit Year eff","Asia"
4,0.21109449391431,0.0915173819267962,0.0747377081270446,0.420656527042477,1.00171109407426,1900,2006,"anti-logit Year eff","Asia"
5,0.162210874439637,0.0780840618642589,0.0482020059510654,0.346486165093464,1.005412968717,420,2007,"anti-logit Year eff","Asia"
6,0.211509807578087,0.0892465092094587,0.0746829682635084,0.419441583334896,1.00215171961749,1300,2008,"anti-logit Year eff","Asia"
7,0.237707557878796,0.0935762196744688,0.0894157481971147,0.451187670167302,1.00091039260906,4500,2009,"anti-logit Year eff","Asia"
8,0.321795490766445,0.10660010614595,0.14357095043704,0.5460255805028,1.00116381339112,4000,2010,"anti-logit Year eff","Asia"
9,0.145744554651697,0.0660952691549351,0.0521636791180686,0.305340090074867,1.00403966539309,600,2011,"anti-logit Year eff","Asia"
10,0.181396478721934,0.0771660309719747,0.0681835146874461,0.364557932692951,1.00135301238735,2900,2012,"anti-logit Year eff","Asia"
11,0.18692790112835,0.0774732798991573,0.0686119106248755,0.369476139075074,1.00280463859351,940,2013,"anti-logit Year eff","Asia"
12,0.262447811638208,0.10463542813255,0.101485034946842,0.500323644109078,1.00224124046197,1300,2014,"anti-logit Year eff","Asia"
13,0.402167079448867,0.116888906838686,0.195129375240362,0.640216333957638,1.00081532269365,4500,2015,"anti-logit Year eff","Asia"
14,0.237474896262515,0.0867471969614522,0.0975134011565692,0.433840809462835,1.00126171841259,3400,2016,"anti-logit Year eff","Asia"
15,0.324411194800244,0.104156474806768,0.147146645235275,0.551086223756091,1.00079319214455,4500,2017,"anti-logit Year eff","Asia"
16,0.300294161237642,0.0994784336736836,0.135763685439172,0.521495715800938,1.00190541242487,1600,2018,"anti-logit Year eff","Asia"
17,0.244229365426689,0.0870303580502677,0.101548673367519,0.437856553592834,1.00203362692342,1500,2019,"anti-logit Year eff","Asia"
18,0.278910409216174,0.098308930845949,0.114358413029718,0.493952502516993,1.00070989862542,4500,2020,"anti-logit Year eff","Asia"
19,0.299219710796902,0.10274304053624,0.128451586499337,0.529073102471067,1.00076469719882,4500,2021,"anti-logit Year eff","Asia"
20,0.113566486489803,0.055793605618631,0.0361177581895626,0.246266004902423,1.00156889932865,2200,2022,"anti-logit Year eff","Asia"
21,0.154122465128187,0.0689104369090164,0.0556283735929045,0.325119406396057,1.00116459522372,4000,2023,"anti-logit Year eff","Asia"
1,0.167169146988599,0.0758339795173565,0.0492196907393235,0.338759883754131,1.00160559617415,2100,2003,"MM.p.uw","Asia"
2,0.170256747684931,0.0642999105970296,0.0618009880713109,0.311867202693572,1.0023857847803,1300,2004,"MM.p.uw","Asia"
3,0.33756474151392,0.0756075330855167,0.194709294368298,0.487022171825156,1.00122487441021,3600,2005,"MM.p.uw","Asia"
4,0.293118840589631,0.0589860463801243,0.180981471164572,0.409861043522779,1.00185740098308,1700,2006,"MM.p.uw","Asia"
5,0.261687090722443,0.0568362770316686,0.157986268655736,0.380361816039437,1.00628443224251,360,2007,"MM.p.uw","Asia"
6,0.295558231108292,0.0568014784171922,0.189299985908958,0.409101397594278,1.00254500969464,1100,2008,"MM.p.uw","Asia"
7,0.322177474132748,0.0518452754170745,0.222507944124441,0.425721725051962,1.00122096638215,3600,2009,"MM.p.uw","Asia"
8,0.376276146031453,0.0541762800039828,0.270570827389928,0.482306668814316,1.00082581423284,4500,2010,"MM.p.uw","Asia"
9,0.233437322219419,0.0464832573774757,0.144538247707255,0.328430718223049,1.00287293387366,910,2011,"MM.p.uw","Asia"
10,0.269729906631007,0.0493530046260884,0.181402105949541,0.370562401082887,1.00154036522599,2300,2012,"MM.p.uw","Asia"
11,0.276753368252946,0.0474343328149971,0.189816773595349,0.374365042569185,1.00230382877891,1200,2013,"MM.p.uw","Asia"
12,0.329588682933268,0.0599751753340073,0.215573283193224,0.448173066476821,1.00279704839273,940,2014,"MM.p.uw","Asia"
13,0.429501874749552,0.0586501726937954,0.31651740760617,0.547093133860988,1.00078188315156,4500,2015,"MM.p.uw","Asia"
14,0.302594742155952,0.0459219445902603,0.216720351960681,0.393180518537695,1.00117445129408,3900,2016,"MM.p.uw","Asia"
15,0.382927982451594,0.0503510957548392,0.286705972508179,0.486204389905317,1.00137541477577,2800,2017,"MM.p.uw","Asia"
16,0.362456450042015,0.0455079290649192,0.277239200306473,0.453725514635042,1.0056083416078,410,2018,"MM.p.uw","Asia"
17,0.316791456085939,0.0476545784285696,0.222983278299374,0.410780884372691,1.00147614554192,2500,2019,"MM.p.uw","Asia"
18,0.34292171257198,0.0485790565018095,0.249131477650504,0.439265628715119,1.00082948765101,4500,2020,"MM.p.uw","Asia"
19,0.368140635887583,0.0511230250693292,0.269468400495384,0.468327514563694,1.00096363638464,4500,2021,"MM.p.uw","Asia"
20,0.203947560983531,0.0450459506710251,0.121358915063964,0.298343288355254,1.00416496281418,570,2022,"MM.p.uw","Asia"
21,0.254748241449449,0.0488619322687486,0.164808820691401,0.355954591062318,1.00105315337565,4500,2023,"MM.p.uw","Asia"
1,0.167169146988599,0.0758339795173565,0.0492196907393235,0.338759883754131,1.00160559617415,2100,2003,"MM.p.w","Asia"
2,0.170256747684931,0.0642999105970296,0.0618009880713109,0.311867202693572,1.0023857847803,1300,2004,"MM.p.w","Asia"
3,0.33756474151392,0.0756075330855167,0.194709294368298,0.487022171825156,1.00122487441021,3600,2005,"MM.p.w","Asia"
4,0.293118840589631,0.0589860463801243,0.180981471164572,0.409861043522779,1.00185740098308,1700,2006,"MM.p.w","Asia"
5,0.261687090722443,0.0568362770316686,0.157986268655736,0.380361816039437,1.00628443224251,360,2007,"MM.p.w","Asia"
6,0.295558231108292,0.0568014784171922,0.189299985908958,0.409101397594278,1.00254500969464,1100,2008,"MM.p.w","Asia"
7,0.322177474132748,0.0518452754170745,0.222507944124441,0.425721725051962,1.00122096638215,3600,2009,"MM.p.w","Asia"
8,0.376276146031453,0.0541762800039828,0.270570827389928,0.482306668814316,1.00082581423284,4500,2010,"MM.p.w","Asia"
9,0.233437322219419,0.0464832573774757,0.144538247707255,0.328430718223049,1.00287293387366,910,2011,"MM.p.w","Asia"
10,0.269729906631007,0.0493530046260884,0.181402105949541,0.370562401082887,1.00154036522599,2300,2012,"MM.p.w","Asia"
